metric,emotion,n,pearson_r,pearson_p,spearman_r,spearman_p
pi,admiration,26372,0.005995912930037503,0.330222221976577,0.02797894894974723,5.511709646216599e-06
pi,amusement,26372,0.00031476435254952835,0.9592349960711273,-0.01995398052707964,0.0011928373124491234
pi,anger,26372,0.006713805511189257,0.27560468915459924,0.006212068405046123,0.3130858335009039
pi,annoyance,26372,0.0029025120791544927,0.6374044640917489,0.0013756350611168297,0.8232357248178517
pi,approval,26372,0.01125936252690419,0.06748493069333751,0.017563112910914478,0.00434124266313216
pi,caring,26372,0.0035097364606312444,0.5687204816365196,-0.0028312375412665623,0.6456908212430261
pi,confusion,26372,-0.009939560552730164,0.10650701021167497,-0.016742187580329564,0.006549896891836411
pi,curiosity,26372,-0.010885639995090185,0.07710479339491225,-0.00843639942698988,0.17069158727019018
pi,desire,26372,0.003003041497656899,0.6257937706041179,-0.008763964992127374,0.154683897101813
pi,disappointment,26372,0.0061149957952776396,0.3207078130625203,-0.006718461002832199,0.2752718893782886
pi,disapproval,26372,-0.001605197144525667,0.7943523013266941,-0.02239757636743323,0.0002752663244964337
pi,disgust,26372,0.00046640042263367465,0.9396280879078324,0.001592016182935358,0.7960035239689291
pi,embarrassment,26372,0.003993742051064575,0.5166396843805076,0.00895900219519683,0.14570978417464958
pi,excitement,26372,-0.0008313989969216915,0.8926052996559501,-0.00814633373081723,0.18587538838516734
pi,fear,26372,-0.028290998956650472,4.327351271665675e-06,-0.031968160844279496,2.0744755578651193e-07
pi,gratitude,26372,-0.006322119616743957,0.3045902180186484,-0.02107989752270383,0.0006182497521584811
pi,joy,26372,-0.0017061454047228408,0.7817372317657113,0.002432609772498477,0.6928248034781316
pi,love,26372,0.019898120526809428,0.0012313642538710104,0.049109566488439366,1.4685103449854246e-15
pi,neutral,26372,-0.008581115402844487,0.16347280245582965,-0.018229891659116097,0.0030709895375678428
pi,optimism,26372,0.0009623678601064405,0.875815509394758,-0.010061323135853768,0.1022865154609499
pi,realization,26372,0.0022854127542268417,0.7105470084152687,0.01063847826521757,0.08406028288920347
pi,remorse,26372,0.003933316200300437,0.5230041684836854,0.004993760819194999,0.41740798830426096
pi,sadness,26372,-0.006861333706226094,0.2651918031014584,-0.010769538185926249,0.08031133957875652
pi,surprise,26372,-0.004130227376932559,0.5024131837046065,-0.011926627010605291,0.052770202993870724
cep,admiration,15643,0.012543768391851874,0.11669215118762995,0.012257283680633795,0.12528132351536686
cep,amusement,15643,-0.00508418604298126,0.5248790795497658,-0.009107437927976702,0.2546956957547384
cep,anger,15643,0.004969737368514598,0.5342515827439217,0.005835602358452579,0.465501302143291
cep,annoyance,15643,-0.008021023865737414,0.3157926908729889,-0.006267873640422207,0.43311028202300084
cep,approval,15643,0.014752130005127484,0.06503302274625676,0.01592817214635496,0.04635622735672375
cep,caring,15643,0.005611021796650302,0.48284690834267247,0.005317887890966948,0.5060055196572791
cep,confusion,15643,-0.008943250227651776,0.2633607682342111,-0.00877673168437072,0.2723544579058314
cep,curiosity,15643,-0.0019596780286505484,0.8063933588918114,-0.000919271638576445,0.9084721032006118
cep,desire,15643,0.0028698459599539655,0.7196628894595296,0.003700651881996896,0.6434988039556317
cep,disappointment,15643,0.005632013321637575,0.4812108825878187,0.00421904208434708,0.597746361414104
cep,disapproval,15643,-0.014487698267266641,0.06999309059666942,-0.013546550103055345,0.09022041373837061
cep,disgust,15643,-0.0005805211105800283,0.942123528802317,0.0005433080860470854,0.9458276713173027
cep,embarrassment,15643,,,,
cep,excitement,15643,0.0024682207575387398,0.7575641551786683,0.002666324393697048,0.7387897857929441
cep,fear,15643,-0.04035283997670578,4.4491395522764607e-07,-0.03954846977715492,7.500079958817341e-07
cep,gratitude,15643,-0.0013837787687139697,0.8626056791336578,1.231843790524621e-05,0.9987708048308154
cep,joy,15643,-0.005457056107634432,0.49493842548126427,-0.0045409446882425505,0.5701011861559935
cep,love,15643,0.016175331298857953,0.043067851123254584,0.015136104801596264,0.05834992534443852
cep,neutral,15643,-0.007915874442268425,0.3221787737369168,-0.0072589957106900796,0.3639646798367261
cep,optimism,15643,-0.006682590516215659,0.4032970439327051,-0.006454693123571725,0.4195252633772126
cep,realization,15643,-0.004140171350934883,0.6046115892266039,-0.0030866678774166437,0.6994776129976328
cep,remorse,15643,-0.0021517420541892667,0.7878516198218369,-0.002437987095540038,0.7604423478875366
cep,sadness,15643,0.00020970739903174726,0.9790767399758038,-1.9367916346417466e-05,0.9980673738397315
cep,surprise,15643,-0.00255532715495568,0.7492906746126243,-0.0079149528638439,0.3222351142692072
uiop,admiration,8504,-0.02124690616097008,0.05008211810917642,-0.023082343687350328,0.03329082399033663
uiop,amusement,8504,-0.022548540912730827,0.03758790028757158,-0.02461103804362064,0.0232337140742676
uiop,anger,8504,0.01111258666181735,0.3055274667634013,0.01178399433261809,0.2772294638529174
uiop,annoyance,8504,-0.017121994860224733,0.11437621797850953,-0.014812961275080479,0.17197569557258158
