metric,emotion,n,pearson_r,pearson_p,spearman_r,spearman_p
pi,surprise,225,0.283526618592539,1.573403301570587e-05,0.1986641544681466,0.002760171684680588
pop_mean_pct,admiration,225,-0.08226914768362065,0.2189785720775709,-0.07481274107787121,0.2637773863445427
pop_mean_pct,approval,225,0.12689285116861548,0.0573700756975735,0.1329034059989828,0.04644905721982192
pop_mean_pct,confusion,225,-0.04693291586636579,0.4836408648860961,-0.05005034370741807,0.45503824194599923
pop_mean_pct,curiosity,225,-0.11991506669321071,0.07262332694664875,-0.12227206857062133,0.06713924246530956
pop_mean_pct,desire,225,-0.16904273693133318,0.011090872114109671,-0.17638761593184699,0.008003963342475199
pop_mean_pct,disappointment,225,-0.14466261025093385,0.03006169218605594,-0.15068820193772703,0.023780476288728588
pop_mean_pct,gratitude,225,0.18485698350225938,0.0054121257513601055,0.20508340385036894,0.0019877965312449044
pop_mean_pct,love,225,-0.027543823243295996,0.6811208399803819,-0.037188716264627775,0.5789522956222527
pop_mean_pct,neutral,225,0.25802598077913175,9.027760617513819e-05,0.2891330438447383,1.0464878093203277e-05
pop_mean_pct,surprise,225,0.27142781394750937,3.6837001136863884e-05,0.1986641544681466,0.002760171684680588
rating_mean,admiration,225,-0.04814436476999802,0.47241208965252807,-0.08367223277687923,0.21119489427555369
rating_mean,approval,225,-0.057264636054488866,0.39261369975836785,-0.03798924368405784,0.5708028853702515
rating_mean,confusion,225,-0.10882426640508158,0.1035013710903421,-0.13557510894372035,0.04218508047921711
rating_mean,curiosity,225,0.03889960682063709,0.5616018163852847,0.055947943529025324,0.40360551692742724
rating_mean,desire,225,0.0326697704978586,0.6259414224678826,0.04032504954695313,0.5473395425919017
rating_mean,disappointment,225,-0.08969104143439396,0.180058282587766,-0.12583254861811113,0.05950110246398808
rating_mean,gratitude,225,0.0890684880142977,0.18311227399283522,0.09792280950653942,0.14314419730464037
rating_mean,love,225,0.11765165218763801,0.07822714537108147,0.1026011199294928,0.1249073938885005
rating_mean,neutral,225,0.03937176929250205,0.5568578755284137,0.07488937773005581,0.2632871381128136
rating_mean,surprise,225,0.05760367526241193,0.3898128391135291,0.07367882560049208,0.2711042195033464
